Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2022-01-09,12:00 PM,68 °F,34 °F,28 %,SSE,5 mph,0 mph,28.00 in,0.0 in,Fair
2022-01-09,1:00 PM,72 °F,36 °F,27 %,SSE,3 mph,0 mph,27.97 in,0.0 in,Fair
2022-01-09,2:00 PM,73 °F,36 °F,25 %,SSE,5 mph,0 mph,27.97 in,0.0 in,Fair
2022-01-09,3:00 PM,73 °F,36 °F,25 %,SE,3 mph,0 mph,27.97 in,0.0 in,Fair
2022-01-09,4:00 PM,73 °F,37 °F,27 %,SSE,3 mph,0 mph,27.97 in,0.0 in,Fair
2022-01-09,5:00 PM,70 °F,32 °F,25 %,ESE,5 mph,0 mph,27.97 in,0.0 in,Fair
2022-01-09,6:00 PM,66 °F,37 °F,35 %,ESE,5 mph,0 mph,27.97 in,0.0 in,Fair
2022-01-09,7:00 PM,64 °F,34 °F,32 %,ESE,6 mph,0 mph,28.00 in,0.0 in,Fair
2022-01-09,8:00 PM,63 °F,37 °F,39 %,SE,3 mph,0 mph,28.02 in,0.0 in,Fair
2022-01-09,9:00 PM,61 °F,36 °F,39 %,SE,3 mph,0 mph,28.02 in,0.0 in,Fair
2022-01-09,10:00 PM,59 °F,36 °F,42 %,SE,3 mph,0 mph,28.02 in,0.0 in,Fair
2022-01-09,11:00 PM,59 °F,36 °F,42 %,SSE,3 mph,0 mph,28.00 in,0.0 in,Fair
2022-01-10,12:00 AM,57 °F,36 °F,44 %,SE,3 mph,0 mph,28.00 in,0.0 in,Fair
2022-01-10,1:00 AM,55 °F,36 °F,47 %,SE,3 mph,0 mph,28.00 in,0.0 in,Fair
2022-01-10,2:00 AM,55 °F,36 °F,47 %,SE,3 mph,0 mph,27.97 in,0.0 in,Fair
2022-01-10,3:00 AM,54 °F,36 °F,51 %,SSE,2 mph,0 mph,27.97 in,0.0 in,Fair
2022-01-10,4:00 AM,54 °F,36 °F,51 %,SE,3 mph,0 mph,27.97 in,0.0 in,Fair
2022-01-10,5:00 AM,52 °F,34 °F,50 %,SSE,3 mph,0 mph,27.94 in,0.0 in,Fair
2022-01-10,6:00 AM,52 °F,34 °F,50 %,SSE,2 mph,0 mph,27.94 in,0.0 in,Fair
2022-01-10,7:00 AM,50 °F,36 °F,58 %,CALM,0 mph,0 mph,27.97 in,0.0 in,Fair
